Sample,Taxon,Table,Count
I1P1,Acizzia_alternata,above,523414
I1P1,Acizzia_solanicola,above,133750
I1P1,Aphidius_colemani,above,6714
I1P1,Bactrocera_tryoni,above,11734
I1P1,Bradysia_ocellaris,above,0
I1P1,Carpophilus_davidsoni,above,4770
I1P1,Carpophilus_dimidiatus,above,630
I1P1,Diuraphis_noxia,above,310
I1P1,Drosophila_hydeii,above,250
I1P1,Drosophila_melanogaster,above,10382
I1P1,Drosophila_simulans,above,1741
I1P1,Lysiphlebus_testaceipes,above,2077
I1P1,Metopolophium_dirhodum,above,39
I1P1,Psyllid_sp,above,2504
I1P1,Rhopalosiphum_padi,above,456
I1P1,Scaptodrosophila_lativittata,above,60
D1P1,Acizzia_alternata,above,14333
D1P1,Acizzia_solanicola,above,31293
D1P1,Aphidius_colemani,above,70708
D1P1,Bactrocera_tryoni,above,940
D1P1,Bradysia_ocellaris,above,0
D1P1,Carpophilus_davidsoni,above,4363
D1P1,Carpophilus_dimidiatus,above,11552
D1P1,Diuraphis_noxia,above,35
D1P1,Drosophila_hydeii,above,704
D1P1,Drosophila_melanogaster,above,13702
D1P1,Drosophila_simulans,above,1265
D1P1,Lysiphlebus_testaceipes,above,5965
D1P1,Metopolophium_dirhodum,above,57
D1P1,Psyllid_sp,above,2145
D1P1,Rhopalosiphum_padi,above,317
D1P1,Scaptodrosophila_lativittata,above,1563
PCRpool1P1,Acizzia_alternata,above,1186
PCRpool1P1,Acizzia_solanicola,above,18397
PCRpool1P1,Aphidius_colemani,above,81861
PCRpool1P1,Bactrocera_tryoni,above,868
PCRpool1P1,Bradysia_ocellaris,above,0
PCRpool1P1,Carpophilus_davidsoni,above,14903
PCRpool1P1,Carpophilus_dimidiatus,above,1707
PCRpool1P1,Diuraphis_noxia,above,1051
PCRpool1P1,Drosophila_hydeii,above,2288
PCRpool1P1,Drosophila_melanogaster,above,4538
PCRpool1P1,Drosophila_simulans,above,26139
PCRpool1P1,Lysiphlebus_testaceipes,above,18029
PCRpool1P1,Metopolophium_dirhodum,above,964
PCRpool1P1,Psyllid_sp,above,2448
PCRpool1P1,Rhopalosiphum_padi,above,1378
PCRpool1P1,Scaptodrosophila_lativittata,above,2300
I2P1,Acizzia_alternata,above,20189
I2P1,Acizzia_solanicola,above,472156
I2P1,Aphidius_colemani,above,444
I2P1,Bactrocera_tryoni,above,1146
I2P1,Bradysia_ocellaris,above,0
I2P1,Carpophilus_davidsoni,above,4104
I2P1,Carpophilus_dimidiatus,above,17331
I2P1,Diuraphis_noxia,above,94
I2P1,Drosophila_hydeii,above,525
I2P1,Drosophila_melanogaster,above,4720
I2P1,Drosophila_simulans,above,3476
I2P1,Lysiphlebus_testaceipes,above,0
I2P1,Metopolophium_dirhodum,above,96
I2P1,Psyllid_sp,above,957
I2P1,Rhopalosiphum_padi,above,353
I2P1,Scaptodrosophila_lativittata,above,297
D2P1,Acizzia_alternata,above,10773
D2P1,Acizzia_solanicola,above,66372
D2P1,Aphidius_colemani,above,7458
