Sample,Taxon,Observed,Count,Expected,Plate,Barcode,Mixture_type,Num_species,Table
I1P1,Acizzia_alternata,74.89850908,523414,0.01,1,1,Insects,15,above
I1P1,Acizzia_solanicola,19.13910516,133750,0.1,1,1,Insects,15,above
I1P1,Aphidius_colemani,0.960747305,6714,0.36,1,1,Insects,15,above
I1P1,Bactrocera_tryoni,1.679089794,11734,0.01,1,1,Insects,15,above
I1P1,Bradysia_ocellaris,0,0,0,1,1,Insects,15,above
I1P1,Carpophilus_davidsoni,0.682568461,4770,0.25,1,1,Insects,15,above
I1P1,Carpophilus_dimidiatus,0.090150551,630,0.01,1,1,Insects,15,above
I1P1,Diuraphis_noxia,0.044359795,310,0.01,1,1,Insects,15,above
I1P1,Drosophila_hydeii,0.035774028,250,0.01,1,1,Insects,15,above
I1P1,Drosophila_melanogaster,1.485623849,10382,0.05,1,1,Insects,15,above
I1P1,Drosophila_simulans,0.249130333,1741,0.01,1,1,Insects,15,above
I1P1,Lysiphlebus_testaceipes,0.297210627,2077,0.14,1,1,Insects,15,above
I1P1,Metopolophium_dirhodum,0.005580748,39,0.01,1,1,Insects,15,above
I1P1,Psyllid_sp,0.358312668,2504,0.01,1,1,Insects,15,above
I1P1,Rhopalosiphum_padi,0.065251828,456,0.01,1,1,Insects,15,above
I1P1,Scaptodrosophila_lativittata,0.008585767,60,0.01,1,1,Insects,15,above
D1P1,Acizzia_alternata,9.017754904,14333,0.01,1,2,DNA,15,above
D1P1,Acizzia_solanicola,19.68831398,31293,0.1,1,2,DNA,15,above
D1P1,Aphidius_colemani,44.48666809,70708,0.36,1,2,DNA,15,above
D1P1,Bactrocera_tryoni,0.591410703,940,0.01,1,2,DNA,15,above
D1P1,Bradysia_ocellaris,0,0,0,1,2,DNA,15,above
D1P1,Carpophilus_davidsoni,2.745026488,4363,0.25,1,2,DNA,15,above
D1P1,Carpophilus_dimidiatus,7.268060047,11552,0.01,1,2,DNA,15,above
D1P1,Diuraphis_noxia,0.022020611,35,0.01,1,2,DNA,15,above
D1P1,Drosophila_hydeii,0.442928867,704,0.01,1,2,DNA,15,above
D1P1,Drosophila_melanogaster,8.620754741,13702,0.05,1,2,DNA,15,above
D1P1,Drosophila_simulans,0.795887808,1265,0.01,1,2,DNA,15,above
D1P1,Lysiphlebus_testaceipes,3.752941325,5965,0.14,1,2,DNA,15,above
D1P1,Metopolophium_dirhodum,0.035862138,57,0.01,1,2,DNA,15,above
D1P1,Psyllid_sp,1.349548892,2145,0.01,1,2,DNA,15,above
D1P1,Rhopalosiphum_padi,0.199443822,317,0.01,1,2,DNA,15,above
D1P1,Scaptodrosophila_lativittata,0.983377584,1563,0.01,1,2,DNA,15,above
PCRpool1P1,Acizzia_alternata,0.66607884,1186,0.01,1,3,PCR,15,above
PCRpool1P1,Acizzia_solanicola,10.33208467,18397,0.1,1,3,PCR,15,above
PCRpool1P1,Aphidius_colemani,45.97460364,81861,0.36,1,3,PCR,15,above
PCRpool1P1,Bactrocera_tryoni,0.487484345,868,0.01,1,3,PCR,15,above
PCRpool1P1,Bradysia_ocellaris,0,0,0,1,3,PCR,15,above
PCRpool1P1,Carpophilus_davidsoni,8.369791696,14903,0.25,1,3,PCR,15,above
PCRpool1P1,Carpophilus_dimidiatus,0.95868177,1707,0.01,1,3,PCR,15,above
PCRpool1P1,Diuraphis_noxia,0.590260422,1051,0.01,1,3,PCR,15,above
PCRpool1P1,Drosophila_hydeii,1.284981775,2288,0.01,1,3,PCR,15,above
PCRpool1P1,Drosophila_melanogaster,2.54862207,4538,0.05,1,3,PCR,15,above
PCRpool1P1,Drosophila_simulans,14.68013052,26139,0.01,1,3,PCR,15,above
PCRpool1P1,Lysiphlebus_testaceipes,10.12540928,18029,0.14,1,3,PCR,15,above
PCRpool1P1,Metopolophium_dirhodum,0.541399664,964,0.01,1,3,PCR,15,above
PCRpool1P1,Psyllid_sp,1.374840641,2448,0.01,1,3,PCR,15,above
PCRpool1P1,Rhopalosiphum_padi,0.773909478,1378,0.01,1,3,PCR,15,above
PCRpool1P1,Scaptodrosophila_lativittata,1.29172119,2300,0.01,1,3,PCR,15,above
I2P1,Acizzia_alternata,3.839030364,20189,0.01,1,4,Insects,14,above
I2P1,Acizzia_solanicola,89.78261531,472156,0.25,1,4,Insects,14,above
I2P1,Aphidius_colemani,0.084428624,444,0.05,1,4,Insects,14,above
I2P1,Bactrocera_tryoni,0.217917123,1146,0.01,1,4,Insects,14,above
I2P1,Bradysia_ocellaris,0,0,0,1,4,Insects,14,above
I2P1,Carpophilus_davidsoni,0.780394304,4104,0.5,1,4,Insects,14,above
I2P1,Carpophilus_dimidiatus,3.295568638,17331,0.01,1,4,Insects,14,above
I2P1,Diuraphis_noxia,0.017874528,94,0.01,1,4,Insects,14,above
I2P1,Drosophila_hydeii,0.099831143,525,0.01,1,4,Insects,14,above
I2P1,Drosophila_melanogaster,0.897529512,4720,0.1,1,4,Insects,14,above
I2P1,Drosophila_simulans,0.660977242,3476,0.01,1,4,Insects,14,above
I2P1,Lysiphlebus_testaceipes,0,0,0,1,4,Insects,14,above
I2P1,Metopolophium_dirhodum,0.018254838,96,0.01,1,4,Insects,14,above
I2P1,Psyllid_sp,0.181977912,957,0.01,1,4,Insects,14,above
I2P1,Rhopalosiphum_padi,0.067124559,353,0.01,1,4,Insects,14,above
I2P1,Scaptodrosophila_lativittata,0.056475904,297,0.01,1,4,Insects,14,above
D2P1,Acizzia_alternata,8.599343854,10773,0.01,1,5,DNA,14,above
D2P1,Acizzia_solanicola,52.98019589,66372,0.25,1,5,DNA,14,above
D2P1,Aphidius_colemani,5.953207692,7458,0.05,1,5,DNA,14,above
D2P1,Bactrocera_tryoni,0.673707065,844,0.01,1,5,DNA,14,above
D2P1,Bradysia_ocellaris,0,0,0,1,5,DNA,14,above
D2P1,Carpophilus_davidsoni,4.926682472,6172,0.5,1,5,DNA,14,above
D2P1,Carpophilus_dimidiatus,7.251131493,9084,0.01,1,5,DNA,14,above
D2P1,Diuraphis_noxia,0.033525707,42,0.01,1,5,DNA,14,above
D2P1,Drosophila_hydeii,0.385545631,483,0.01,1,5,DNA,14,above
D2P1,Drosophila_melanogaster,16.11548808,20189,0.1,1,5,DNA,14,above
D2P1,Drosophila_simulans,0.757521333,949,0.01,1,5,DNA,14,above
D2P1,Lysiphlebus_testaceipes,0,0,0,1,5,DNA,14,above
D2P1,Metopolophium_dirhodum,0.038315094,48,0.01,1,5,DNA,14,above
D2P1,Psyllid_sp,1.294730876,1622,0.01,1,5,DNA,14,above
D2P1,Rhopalosiphum_padi,0.154856837,194,0.01,1,5,DNA,14,above
D2P1,Scaptodrosophila_lativittata,0.835747982,1047,0.01,1,5,DNA,14,above
PCRpool2P1,Acizzia_alternata,0.916383067,1516,0.01,1,6,PCR,14,above
PCRpool2P1,Acizzia_solanicola,36.59668869,60543,0.25,1,6,PCR,14,above
PCRpool2P1,Aphidius_colemani,8.319380051,13763,0.05,1,6,PCR,14,above
PCRpool2P1,Bactrocera_tryoni,0.659481482,1091,0.01,1,6,PCR,14,above
PCRpool2P1,Bradysia_ocellaris,0,0,0,1,6,PCR,14,above
PCRpool2P1,Carpophilus_davidsoni,19.21805202,31793,0.5,1,6,PCR,14,above
PCRpool2P1,Carpophilus_dimidiatus,1.010681061,1672,0.01,1,6,PCR,14,above
PCRpool2P1,Diuraphis_noxia,0.651623316,1078,0.01,1,6,PCR,14,above
PCRpool2P1,Drosophila_hydeii,1.29176162,2137,0.01,1,6,PCR,14,above
PCRpool2P1,Drosophila_melanogaster,6.68729939,11063,0.1,1,6,PCR,14,above
PCRpool2P1,Drosophila_simulans,19.15337327,31686,0.01,1,6,PCR,14,above
PCRpool2P1,Lysiphlebus_testaceipes,0,0,0,1,6,PCR,14,above
PCRpool2P1,Metopolophium_dirhodum,0.733831823,1214,0.01,1,6,PCR,14,above
PCRpool2P1,Psyllid_sp,1.892004618,3130,0.01,1,6,PCR,14,above
PCRpool2P1,Rhopalosiphum_padi,1.143060937,1891,0.01,1,6,PCR,14,above
PCRpool2P1,Scaptodrosophila_lativittata,1.726378655,2856,0.01,1,6,PCR,14,above
I3P1,Acizzia_alternata,19.91728238,104405,0.01,1,7,Insects,15,above
I3P1,Acizzia_solanicola,68.82102584,360755,0.5,1,7,Insects,15,above
