Sample,Taxon,Count,Observed,Expected,Num_species
I1P1,Acizzia_alternata,523414,74.89850908,0.01,15
I1P1,Acizzia_solanicola,133750,19.13910516,0.1,15
I1P1,Aphidius_colemani,6714,0.960747305,0.36,15
I1P1,Bactrocera_tryoni,11734,1.679089794,0.01,15
I1P1,Bradysia_ocellaris,0,0,0,15
I1P1,Carpophilus_davidsoni,4770,0.682568461,0.25,15
I1P1,Carpophilus_dimidiatus,630,0.090150551,0.01,15
I1P1,Diuraphis_noxia,310,0.044359795,0.01,15
I1P1,Drosophila_hydeii,250,0.035774028,0.01,15
I1P1,Drosophila_melanogaster,10382,1.485623849,0.05,15
I1P1,Drosophila_simulans,1741,0.249130333,0.01,15
I1P1,Lysiphlebus_testaceipes,2077,0.297210627,0.14,15
I1P1,Metopolophium_dirhodum,39,0.005580748,0.01,15
I1P1,Psyllid_sp,2504,0.358312668,0.01,15
I1P1,Rhopalosiphum_padi,456,0.065251828,0.01,15
I1P1,Scaptodrosophila_lativittata,60,0.008585767,0.01,15
D1P1,Acizzia_alternata,14333,9.017754904,0.01,15
D1P1,Acizzia_solanicola,31293,19.68831398,0.1,15
D1P1,Aphidius_colemani,70708,44.48666809,0.36,15
D1P1,Bactrocera_tryoni,940,0.591410703,0.01,15
D1P1,Bradysia_ocellaris,0,0,0,15
D1P1,Carpophilus_davidsoni,4363,2.745026488,0.25,15
D1P1,Carpophilus_dimidiatus,11552,7.268060047,0.01,15
D1P1,Diuraphis_noxia,35,0.022020611,0.01,15
D1P1,Drosophila_hydeii,704,0.442928867,0.01,15
D1P1,Drosophila_melanogaster,13702,8.620754741,0.05,15
D1P1,Drosophila_simulans,1265,0.795887808,0.01,15
D1P1,Lysiphlebus_testaceipes,5965,3.752941325,0.14,15
D1P1,Metopolophium_dirhodum,57,0.035862138,0.01,15
D1P1,Psyllid_sp,2145,1.349548892,0.01,15
D1P1,Rhopalosiphum_padi,317,0.199443822,0.01,15
D1P1,Scaptodrosophila_lativittata,1563,0.983377584,0.01,15
PCRpool1P1,Acizzia_alternata,1186,0.66607884,0.01,15
PCRpool1P1,Acizzia_solanicola,18397,10.33208467,0.1,15
PCRpool1P1,Aphidius_colemani,81861,45.97460364,0.36,15
PCRpool1P1,Bactrocera_tryoni,868,0.487484345,0.01,15
PCRpool1P1,Bradysia_ocellaris,0,0,0,15
PCRpool1P1,Carpophilus_davidsoni,14903,8.369791696,0.25,15
PCRpool1P1,Carpophilus_dimidiatus,1707,0.95868177,0.01,15
PCRpool1P1,Diuraphis_noxia,1051,0.590260422,0.01,15
PCRpool1P1,Drosophila_hydeii,2288,1.284981775,0.01,15
PCRpool1P1,Drosophila_melanogaster,4538,2.54862207,0.05,15
PCRpool1P1,Drosophila_simulans,26139,14.68013052,0.01,15
PCRpool1P1,Lysiphlebus_testaceipes,18029,10.12540928,0.14,15
PCRpool1P1,Metopolophium_dirhodum,964,0.541399664,0.01,15
PCRpool1P1,Psyllid_sp,2448,1.374840641,0.01,15
PCRpool1P1,Rhopalosiphum_padi,1378,0.773909478,0.01,15
PCRpool1P1,Scaptodrosophila_lativittata,2300,1.29172119,0.01,15
I2P1,Acizzia_alternata,20189,3.839030364,0.01,14
I2P1,Acizzia_solanicola,472156,89.78261531,0.25,14
I2P1,Aphidius_colemani,444,0.084428624,0.05,14
