Sample,Plate,Barcode,Mixture_type,Num_species,Species_list
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
I1P1,1,1,Insects,15,Acizzia_alternata;Acizzia_solanicola;Aphidius_colemani;Bactrocera_tryoni;Carpophilus_davidsoni;Carpophilus_dimidiatus;Diuraphis_noxia;Drosophila_hydeii;Drosophila_melanogaster;Drosophila_simulans;Lysiphlebus_testaceipes;Metopolophium_dirhodum;Psyllid_sp;Rhopalosiphum_padi;Scaptodrosophila_lativittata
