taxon,target_subfragment,Fprimer,Rprimer,Fdist,Rdist,G|C
Acizzia_alternata,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0.043478260869565216,0.30097087378640774
Acizzia_solanicola,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0.043478260869565216,0.32038834951456313
Aphidius_colemani,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0,0.24757281553398058
Bactrocera_tryoni,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0.043478260869565216,0.36893203883495146
Carpophilus_davidsoni,fwhF2-fwhR2n,fwhF2,fwhR2n,0.11538461538461539,0.08695652173913043,0.3737864077669903
Carpophilus_truncatus,fwhF2-fwhR2n,fwhF2,fwhR2n,0.038461538461538464,0.043478260869565216,0.35436893203883496
Diuraphis_noxia,fwhF2-fwhR2n,fwhF2,fwhR2n,0.038461538461538464,0,0.19902912621359223
Drosophila_hydei,fwhF2-fwhR2n,fwhF2,fwhR2n,0.038461538461538464,0,0.32524271844660196
Drosophila_melanogaster,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0,0.2961165048543689
Drosophila_simulans,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0,0.3155339805825243
Lysiphlebus_testaceipes,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0,0.24271844660194175
Metopolophium_dirhodum,fwhF2-fwhR2n,fwhF2,fwhR2n,0.038461538461538464,0,0.21844660194174756
Acizzia_sp,fwhF2-fwhR2n,fwhF2,fwhR2n,0.07692307692307693,0.08695652173913043,0.32038834951456313
Rhopalosiphum_padi,fwhF2-fwhR2n,fwhF2,fwhR2n,0.038461538461538464,0,0.1941747572815534
Scaptodrosophila_lativittata,fwhF2-fwhR2n,fwhF2,fwhR2n,0,0,0.2815533980582524
Acizzia_alternata,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.30697674418604654
Acizzia_solanicola,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.3302325581395349
Aphidius_colemani,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.25116279069767444
Bactrocera_tryoni,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.3674418604651163
Carpophilus_davidsoni,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.11538461538461539,0.05555555555555555,0.3813953488372093
Carpophilus_truncatus,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.038461538461538464,0,0.35348837209302325
Diuraphis_noxia,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.038461538461538464,0,0.20465116279069767
Drosophila_hydei,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.038461538461538464,0.05555555555555555,0.32558139534883723
Drosophila_melanogaster,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.3023255813953488
Drosophila_simulans,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.31627906976744186
Lysiphlebus_testaceipes,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.24651162790697675
Metopolophium_dirhodum,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.038461538461538464,0,0.22325581395348837
Acizzia_sp,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.07692307692307693,0,0.3302325581395349
Rhopalosiphum_padi,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.038461538461538464,0,0.2
Scaptodrosophila_lativittata,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0,0,0.2837209302325581
Bradysia_nr.ocellaris,fwhF2-fwhR2n,fwhF2,fwhR2n,0.07692307692307693,0,0.33980582524271846
Bradysia_nr.ocellaris,fwhF2-HexCOIR4,fwhF2,HexCOIR4,0.07692307692307693,0,0.34418604651162793
